MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST
CHRYSLER,PACIFICA 4DR MINIVAN,16,519,202,178,310,1964,113,231,44,97,130,96,113,174,174,55/45
CHRYSLER,PACIFICA HYBRID 4DR MINIVAN,16,519,202,178,310,2242,113,231,44,97,130,96,113,174,174,56/44
DODGE,CHALLENGER 2DR COUPE AWD V6,9,502,192,145,295,1867,137,84,30,85,119,95,112,160,162,56/44
DODGE,CHALLENGER 2DR COUPE RWD SRT 392 / HELLCAT,9,502,192,145,295,1891,137,84,30,85,119,95,112,160,162,56/44
DODGE,CHALLENGER 2DR COUPE RWD V6,9,502,192,145,295,1785,137,84,30,85,119,95,112,160,162,56/44
DODGE,CHALLENGER 2DR COUPE RWD V8,9,502,192,145,295,1852,137,84,30,85,119,95,112,160,162,56/44
DODGE,CHARGER 4DR SEDAN AWD,15,504,191,148,305,1886,136,71,34,84,117,89,110,161,162,56/44
DODGE,CHARGER 4DR SEDAN RWD HELLCAT,15,504,191,148,305,2075,136,71,34,84,117,89,110,163,162,56/44
DODGE,CHARGER 4DR SEDAN RWD R/T SCAT PACK/SRT392,15,504,191,148,305,1996,136,71,34,84,117,89,110,163,162,56/44
DODGE,CHARGER 4DR SEDAN RWD V6,15,504,191,148,305,1785,136,71,34,84,117,89,110,161,162,56/44
DODGE,CHARGER 4DR SEDAN RWD V8,15,504,191,148,305,1934,136,71,34,84,117,89,110,161,162,56/44
DODGE,DURANGO 4DR SUV AWD V6,11,508,193,180,304,2262,131,218,40,96,125,86,118,162,163,56/44
DODGE,DURANGO 4DR SUV AWD V8,11,508,193,180,304,2418,131,218,40,96,125,86,118,162,163,56/44
DODGE,GRAND CARAVAN 4DR VAN FWD,8,514,200,172,308,2050,102,219,47,89,135,96,111,167,165,56/44
DODGE,JOURNEY 4DR SUV AWD V6,8,489,183,170,289,1926,112,184,41,87,122,100,100,157,158,56/44
DODGE,JOURNEY 4DR SUV FWD I4,8,489,183,170,289,1735,112,184,41,87,122,100,100,157,158,56/44
DODGE,JOURNEY 4DR SUV FWD V6,8,489,183,170,289,1834,112,184,41,87,122,100,100,157,158,56/44
FERRARI,488 GTB,16,457,195,121,265,1475,N/A,N/A,N/A,N/A,N/A,N/A,N/A,168,165,42/58
FERRARI,488 SPIDER,16,457,195,121,265,1525,N/A,N/A,N/A,N/A,N/A,N/A,N/A,168,165,42/58
FERRARI,812 SUPERFAST,17,466,197,127,272,1633,N/A,N/A,N/A,N/A,N/A,N/A,N/A,167,162,47/53
FERRARI,F12tdf,16,466,196,127,272,1523,N/A,N/A,N/A,N/A,N/A,N/A,N/A,167,162,46/54
FERRARI,GTC4 LUSSO / LUSSO T,16,492,198,138,299,1790,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47/53
FERRARI,PORTOFINO,18,459,194,132,267,1664,N/A,N/A,N/A,N/A,N/A,N/A,N/A,163,164,46/54
FIAT,124 SPIDER 2DR CONVERTIBLE,16,407,173,124,231,1114,155,79,31,67,116,85,91,152,150,54/46
FIAT,500 2 DR HATCHBACK,11,355,163,152,230,1068,80,61,37,84,101,71,54,142,140,62/38
FIAT,500 2 DR HATCHBACK ABARTH,12,367,163,150,230,1130,88,37,34,85,104,78,59,141,141,62/38
